epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,73.8666,0.62931,0.49578,0.85102,0.9843,0.89683,0.93652,0.7391,0.79202,0.54507,0.86824,0.000424556,0.000424556,0.000424556
73,74.9904,0.60815,0.48828,0.86805,0.97857,0.89506,0.93647,0.74152,0.79319,0.54608,0.87194,0.000410409,0.000410409,0.000410409
74,76.152,0.64485,0.51041,0.87454,0.98045,0.89743,0.93423,0.74256,0.78889,0.55037,0.86896,0.000396262,0.000396262,0.000396262
75,77.3986,0.61358,0.4763,0.8675,0.9551,0.89007,0.93588,0.73482,0.81287,0.56209,0.87249,0.000382115,0.000382115,0.000382115
76,78.5366,0.60122,0.47148,0.84786,0.96033,0.87299,0.93576,0.74726,0.78619,0.55444,0.86712,0.000367967,0.000367967,0.000367967
77,79.7066,0.6306,0.49793,0.86711,0.92747,0.9216,0.93665,0.74004,0.78026,0.54289,0.86608,0.00035382,0.00035382,0.00035382
78,80.9295,0.58232,0.48793,0.85663,0.98286,0.90977,0.93991,0.74263,0.80156,0.53723,0.87025,0.000339673,0.000339673,0.000339673
79,82.0858,0.57501,0.4675,0.84692,0.97854,0.90476,0.93075,0.7365,0.81318,0.53853,0.86935,0.000325526,0.000325526,0.000325526
80,83.243,0.60193,0.46998,0.86239,0.96536,0.90232,0.92963,0.7411,0.79361,0.54695,0.8654,0.000311379,0.000311379,0.000311379
81,84.4082,0.61597,0.47211,0.86433,0.97153,0.90201,0.93295,0.74367,0.79159,0.53678,0.86658,0.000297232,0.000297232,0.000297232
82,85.6837,0.59229,0.46005,0.86343,0.98331,0.90917,0.9386,0.74668,0.78784,0.50036,0.86653,0.000283085,0.000283085,0.000283085
83,86.8365,0.62229,0.47228,0.8704,0.97823,0.9127,0.94079,0.73607,0.79388,0.49436,0.86694,0.000268938,0.000268938,0.000268938
84,88.0045,0.59442,0.4826,0.87062,0.96468,0.9246,0.93983,0.73748,0.78242,0.49215,0.8647,0.000254791,0.000254791,0.000254791
85,89.1359,0.59083,0.45089,0.86227,0.97271,0.91111,0.93975,0.74029,0.78411,0.49834,0.86421,0.000240644,0.000240644,0.000240644
86,90.2969,0.58609,0.45208,0.84013,0.96569,0.90972,0.93713,0.74854,0.79199,0.49655,0.86613,0.000226497,0.000226497,0.000226497
87,91.4691,0.57036,0.44968,0.85538,0.96779,0.92762,0.94286,0.74851,0.79777,0.49796,0.8674,0.000212349,0.000212349,0.000212349
88,92.3239,0.59574,0.44844,0.84907,0.97074,0.91794,0.94323,0.75176,0.79776,0.49866,0.86595,0.000198202,0.000198202,0.000198202
89,93.0314,0.58762,0.48072,0.8306,0.96489,0.9179,0.9455,0.75258,0.78932,0.4979,0.86435,0.000184055,0.000184055,0.000184055
90,93.7998,0.61783,0.4584,0.85438,0.96344,0.91566,0.94455,0.75005,0.78888,0.50151,0.86689,0.000169908,0.000169908,0.000169908
91,105.364,0.62503,0.50959,0.84365,0.94471,0.90759,0.94095,0.74033,0.79535,0.5121,0.86998,0.000155761,0.000155761,0.000155761
92,106.063,0.54075,0.45524,0.82034,0.94725,0.91046,0.93982,0.74543,0.79434,0.54083,0.86808,0.000141614,0.000141614,0.000141614
93,106.753,0.55102,0.47959,0.82104,0.94795,0.91051,0.94259,0.75074,0.78856,0.54564,0.86583,0.000127467,0.000127467,0.000127467
94,107.443,0.55969,0.50244,0.83854,0.95607,0.90333,0.94448,0.753,0.78237,0.54051,0.86371,0.00011332,0.00011332,0.00011332
95,108.148,0.61755,0.47419,0.84612,0.96393,0.9073,0.94473,0.7523,0.78528,0.53494,0.86496,9.91726e-05,9.91726e-05,9.91726e-05
96,108.857,0.60152,0.4797,0.82533,0.96615,0.91835,0.94421,0.74867,0.79689,0.53412,0.86801,8.50255e-05,8.50255e-05,8.50255e-05
97,109.551,0.57537,0.45408,0.85066,0.96262,0.90873,0.93981,0.74637,0.79787,0.52796,0.86873,7.08784e-05,7.08784e-05,7.08784e-05
98,110.238,0.57333,0.518,0.82186,0.96583,0.90807,0.93732,0.7449,0.7924,0.51605,0.86784,5.67313e-05,5.67313e-05,5.67313e-05
99,110.928,0.54652,0.44184,0.82942,0.96947,0.90839,0.93748,0.74908,0.78888,0.51097,0.86722,4.25842e-05,4.25842e-05,4.25842e-05
100,111.677,0.60002,0.47037,0.84766,0.95795,0.90709,0.93767,0.74976,0.78394,0.50706,0.86506,2.84371e-05,2.84371e-05,2.84371e-05
