epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0363,0.88597,3.4411,0.95905,0.00471,0.6373,0.30036,0.2326,0.93369,3.65635,0.91396,0.000381067,0.000381067,0.000381067
2,12.8772,1.04903,2.12049,0.98942,0.00581,0.75905,0.29427,0.19876,1.04969,3.68155,0.93781,0.000848912,0.000848912,0.000848912
3,13.6562,0.97022,1.82068,0.99533,0.00588,0.77238,0.27672,0.19596,1.02281,3.65285,0.94504,0.00130733,0.00130733,0.00130733
4,14.4369,1.05197,1.62967,1.01294,0.00553,0.75524,0.17015,0.09627,1.20804,3.77954,1.07507,0.00138656,0.00138656,0.00138656
5,15.222,0.94228,1.34774,0.96053,0.00503,0.66381,0.08907,0.05069,1.1955,3.8196,1.07176,0.00137241,0.00137241,0.00137241
6,15.9811,0.92333,1.36284,0.94739,0.00171,0.2219,0.02461,0.01151,1.14953,3.85074,1.09215,0.00135826,0.00135826,0.00135826
7,16.7206,0.87386,1.19888,0.95182,0.00243,0.22095,0.03248,0.02496,1.21391,3.85003,1.1434,0.00134412,0.00134412,0.00134412
8,17.5398,0.9472,1.39517,0.94826,0.00704,0.30365,0.2183,0.15123,1.38013,3.81754,1.2412,0.00132997,0.00132997,0.00132997
9,18.2643,0.92714,1.18044,0.95255,0.17878,0.04381,0.1666,0.12013,1.23123,3.66688,1.12517,0.00131582,0.00131582,0.00131582
10,18.9963,0.94606,1.17504,0.9767,0.71494,0.02778,0.17607,0.12628,1.24978,3.51415,1.14017,0.00130168,0.00130168,0.00130168
11,19.7293,0.90056,1.13237,0.96478,0.51519,0.05991,0.27237,0.21507,1.10716,3.39091,0.95995,0.00128753,0.00128753,0.00128753
12,20.4586,0.91786,1.06742,0.97432,0.55224,0.14883,0.39031,0.28933,1.12956,3.24694,0.98203,0.00127338,0.00127338,0.00127338
13,21.1901,0.87338,1.05875,0.92269,0.63129,0.15986,0.29157,0.22102,1.10247,3.32872,0.95505,0.00125923,0.00125923,0.00125923
14,21.9198,0.85363,1.041,0.93748,0.56186,0.29582,0.46129,0.37316,1.09832,2.9235,0.94821,0.00124509,0.00124509,0.00124509
15,22.661,0.85242,1.07029,0.96338,0.54865,0.42591,0.54508,0.44332,1.08235,2.63048,0.94533,0.00123094,0.00123094,0.00123094
16,23.4646,0.86598,0.98874,0.93123,0.68868,0.50495,0.69308,0.51268,1.05754,2.36498,0.94811,0.00121679,0.00121679,0.00121679
17,24.2002,0.839,0.93548,0.92675,0.72067,0.54632,0.72638,0.55961,1.02146,2.16852,0.94363,0.00120265,0.00120265,0.00120265
18,24.9442,0.81058,0.89887,0.91059,0.74022,0.54118,0.72115,0.53517,1.00789,2.18203,0.94084,0.0011885,0.0011885,0.0011885
19,25.6605,0.78311,0.94602,0.90455,0.72555,0.65525,0.73222,0.52698,0.9987,2.00574,0.94363,0.00117435,0.00117435,0.00117435
